Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Rank
2006,Sports,41.49,29.02,3.77,82.74,1
1985,Platform,29.08,3.58,6.81,40.24,2
2008,Racing,15.85,12.88,3.79,35.82,3
2009,Sports,15.75,11.01,3.28,33,4
1996,Role-Playing,11.27,8.89,10.22,31.37,5
1989,Puzzle,23.2,2.26,4.22,30.26,6
2006,Platform,11.38,9.23,6.5,30.01,7
2006,Misc,14.03,9.2,2.93,29.02,8
2009,Platform,14.59,7.06,4.7,28.62,9
1984,Shooter,26.93,0.63,0.28,28.31,10
2005,Simulation,9.07,11,1.93,24.76,11
2005,Racing,9.81,7.57,4.13,23.42,12
1999,Role-Playing,9,6.18,7.2,23.1,13
2007,Sports,8.94,8.03,3.6,22.72,14
2009,Sports,9.09,8.59,2.53,22,15
2010,Misc,14.97,4.94,0.24,21.82,16
2013,Action,7.01,9.27,0.97,21.4,17
2004,Action,9.43,0.4,0.41,20.81,18
1990,Platform,12.78,3.75,3.54,20.61,19
2005,Misc,4.75,9.26,4.16,20.22,20
2006,Role-Playing,6.42,4.52,6.04,18.36,21
1989,Platform,10.83,2.71,4.18,18.14,22
1988,Platform,9.54,3.44,3.84,17.28,23
2013,Action,9.63,5.31,0.06,16.38,24
2002,Action,8.41,5.49,0.47,16.15,25
2002,Role-Playing,6.06,3.9,5.38,15.85,26
2010,Role-Playing,5.57,3.28,5.65,15.32,27
2005,Puzzle,3.44,5.36,5.32,15.3,28
2001,Racing,6.85,5.09,1.87,14.98,29
2011,Shooter,9.03,4.28,0.13,14.76,30
1998,Role-Playing,5.89,5.04,3.12,14.64,31
2010,Shooter,9.67,3.73,0.11,14.64,32
2013,Role-Playing,5.17,4.05,4.34,14.35,33
2015,Shooter,5.77,5.81,0.35,14.24,34
2012,Shooter,4.99,5.88,0.65,14.03,35
2012,Shooter,8.25,4.3,0.07,13.73,36
2009,Shooter,8.52,3.63,0.08,13.51,37
2011,Shooter,5.54,5.82,0.49,13.46,38
2001,Action,6.99,4.51,0.3,13.1,39
2008,Fighting,6.75,2.61,2.66,13.04,40
2010,Shooter,5.98,4.44,0.48,12.73,41
2005,Simulation,2.55,3.52,5.33,12.27,42
2011,Racing,4.74,3.91,2.67,12.21,43
2007,Shooter,7.97,2.83,0.13,12.14,44
2014,Action,3.8,5.81,0.36,11.98,45
2009,Action,4.4,2.77,3.96,11.9,46
1996,Platform,6.91,2.85,1.91,11.89,47
2004,Racing,3.01,0.01,1.1,11.66,48
2007,Platform,6.16,3.4,1.2,11.52,49
2014,Role-Playing,4.23,3.37,3.08,11.33,50
1992,Adventure,6.16,2.04,2.69,11.18,51
2008,Action,6.76,3.1,0.14,11.02,52
1997,Racing,4.02,3.87,2.54,10.95,53
2011,Platform,4.89,2.99,2.13,10.79,54
2010,Racing,2.96,4.88,0.81,10.77,55
2009,Shooter,4.99,3.69,0.38,10.69,56
2008,Action,4.76,3.76,0.44,10.57,57
1993,Platform,5.99,2.15,2.12,10.55,58
2004,Role-Playing,4.34,2.65,3.15,10.49,59
2004,Platform,5.08,3.11,1.25,10.42,60
2011,Misc,6.05,3.15,0,10.26,61
